NIVEL_CLUSTER,CNAE,CNAE_ESPELHO,SCORE
1,121102,121102,1.0
2,121102,121102,1.0
1,121102,121101,0.8027393844967814
2,121102,121101,0.8027393844967814
0,122900,122900,1.0
1,122900,122900,1.0
2,122900,122900,1.0
0,131800,131800,1.0
1,131800,131800,1.0
2,131800,131800,1.0
1,131800,133404,0.8000499453153495
2,131800,133404,0.8000499453153495
2,131800,133403,0.7741819824367003
0,132600,132600,1.0
1,132600,132600,1.0
2,132600,132600,1.0
0,133401,133401,1.0
1,133401,133401,1.0
2,133401,133401,1.0
2,133401,133403,0.7976398098728289
2,133401,135100,0.7849551392975143
2,133401,133405,0.7808650341401687
2,133401,133411,0.7720967415449991
2,133401,133407,0.771636899086089
0,133402,133402,1.0
1,133402,133402,1.0
2,133402,133402,1.0
2,133402,133408,0.793605543361626
2,133402,133406,0.7866182025217368
2,133402,133405,0.7814549016406542
2,133402,133499,0.7800882544381752
2,133402,133403,0.7779450471844714
2,133402,133404,0.7773548851117098
2,133402,133407,0.7739857156885782
2,133402,133409,0.7716478414273757
0,133403,133403,1.0
1,133403,133403,1.0
2,133403,133403,1.0
2,133403,133409,0.7997501534785271
2,133403,133404,0.7981383196951931
2,133403,133401,0.7976398098728289
2,133403,133407,0.796498559450696
2,133403,133406,0.7910274309060192
2,133403,133499,0.7879620035554367
2,133403,135100,0.7876408377062178
2,133403,133405,0.7846108434366007
2,133403,133411,0.7839010307356106
2,133403,133402,0.7779450471844714
2,133403,133408,0.7763784186625367
2,133403,131800,0.7741819824367003
0,133404,133404,1.0
1,133404,133404,1.0
2,133404,133404,1.0
1,133404,133499,0.8162445503792107
2,133404,133499,0.8162445503792107
1,133404,131800,0.8000499453153495
2,133404,131800,0.8000499453153495
2,133404,133403,0.7981383196951931
2,133404,133407,0.7925581657093145
2,133404,133411,0.7919048346081752
2,133404,133409,0.7781434795174222
2,133404,133402,0.7773548851117098
0,133405,133405,1.0
1,133405,133405,1.0
2,133405,133405,1.0
2,133405,133403,0.7846108434366007
2,133405,133402,0.7814549016406542
2,133405,133401,0.7808650341401687
2,133405,135100,0.7758441955142318
0,133406,133406,1.0
1,133406,133406,1.0
2,133406,133406,1.0
2,133406,133409,0.7912535073774103
2,133406,133403,0.7910274309060192
2,133406,133402,0.7866182025217368
0,133407,133407,1.0
1,133407,133407,1.0
2,133407,133407,1.0
1,133407,133408,0.8069132006081727
2,133407,133408,0.8069132006081727
1,133407,133409,0.8032187986454147
2,133407,133409,0.8032187986454147
2,133407,133499,0.7968125370928507
2,133407,133403,0.796498559450696
2,133407,133404,0.7925581657093145
2,133407,133411,0.7805515185860459
2,133407,133410,0.774713023252725
2,133407,133402,0.7739857156885782
2,133407,133401,0.771636899086089
0,133408,133408,1.0
1,133408,133408,1.0
2,133408,133408,1.0
1,133408,133407,0.8069132006081727
2,133408,133407,0.8069132006081727
2,133408,133402,0.793605543361626
2,133408,133409,0.7930770473438652
2,133408,133410,0.7822030474132133
2,133408,116403,0.7776951356483506
2,133408,133403,0.7763784186625367
0,133409,133409,1.0
1,133409,133409,1.0
2,133409,133409,1.0
1,133409,133407,0.8032187986454147
2,133409,133407,0.8032187986454147
2,133409,133403,0.7997501534785271
2,133409,133408,0.7930770473438652
2,133409,133406,0.7912535073774103
2,133409,133404,0.7781434795174222
