TIPO_CLUSTER,CNAE,CNAE_ESPELHO,SCORE
ADA-002_FULL,311601,322101,0.29844036785249467
ADA-002_FULL,311602,311602,0.0
ADA-002_FULL,311602,312402,0.1812716070480914
ADA-002_FULL,311602,311601,0.1946215700116604
ADA-002_FULL,311602,312401,0.26189434268698647
ADA-002_FULL,311602,311604,0.2794214274640454
ADA-002_FULL,311602,321301,0.2796789434603583
ADA-002_FULL,311602,321302,0.2857628533474741
ADA-002_FULL,311602,311603,0.2912699463916978
ADA-002_FULL,311602,321304,0.29745719233054485
ADA-002_FULL,311603,311603,0.0
ADA-002_FULL,311603,312403,0.20527052877788599
ADA-002_FULL,311603,311601,0.2808794471995531
ADA-002_FULL,311603,311602,0.2912699463916978
ADA-002_FULL,311604,311604,0.0
ADA-002_FULL,311604,312404,0.1789821141613296
ADA-002_FULL,311604,321305,0.19388223352151773
ADA-002_FULL,311604,311601,0.22143746210976903
ADA-002_FULL,311604,322107,0.24573652418183356
ADA-002_FULL,311604,312401,0.274411238347525
ADA-002_FULL,311604,311602,0.2794214274640454
ADA-002_FULL,312401,312401,0.0
ADA-002_FULL,312401,311601,0.19644319935781607
ADA-002_FULL,312401,312402,0.20396689618707572
ADA-002_FULL,312401,322101,0.2273255295380573
ADA-002_FULL,312401,312404,0.23288549931343658
ADA-002_FULL,312401,322104,0.2539244817991897
ADA-002_FULL,312401,311602,0.26189434268698647
ADA-002_FULL,312401,311604,0.274411238347525
ADA-002_FULL,312401,312403,0.2753169971775563
ADA-002_FULL,312401,322105,0.29738655277683346
ADA-002_FULL,312402,312402,0.0
ADA-002_FULL,312402,311602,0.1812716070480914
ADA-002_FULL,312402,312401,0.20396689618707572
ADA-002_FULL,312402,322102,0.2754039320920574
ADA-002_FULL,312402,322101,0.27802620850333915
ADA-002_FULL,312402,311601,0.2814792525401915
ADA-002_FULL,312402,312404,0.29133604142933955
ADA-002_FULL,312402,322104,0.29504789799436365
ADA-002_FULL,312403,312403,0.0
ADA-002_FULL,312403,311603,0.20527052877788599
ADA-002_FULL,312403,312401,0.2753169971775563
ADA-002_FULL,312404,312404,0.0
ADA-002_FULL,312404,311604,0.1789821141613296
ADA-002_FULL,312404,322107,0.18682983169907147
ADA-002_FULL,312404,312401,0.23288549931343658
ADA-002_FULL,312404,321305,0.2605439663392878
ADA-002_FULL,312404,312402,0.29133604142933955
ADA-002_FULL,312404,322101,0.29829247869327674
ADA-002_FULL,321301,321301,0.0
ADA-002_FULL,321301,321304,0.11452307080524145
ADA-002_FULL,321301,321302,0.2046010626731318
ADA-002_FULL,321301,321303,0.2174278906383623
ADA-002_FULL,321301,322101,0.23000465395341885
ADA-002_FULL,321301,321305,0.2541338643109781
ADA-002_FULL,321301,322104,0.2581291698570995
ADA-002_FULL,321301,311601,0.2619057187786302
ADA-002_FULL,321301,321399,0.2722772817867597
ADA-002_FULL,321301,311602,0.2796789434603583
ADA-002_FULL,321302,321302,0.0
ADA-002_FULL,321302,321301,0.2046010626731318
ADA-002_FULL,321302,322102,0.2136627038667551
ADA-002_FULL,321302,321304,0.22676353277580097
ADA-002_FULL,321302,321303,0.2426324141127749
ADA-002_FULL,321302,311602,0.2857628533474741
ADA-002_FULL,321302,321305,0.2993001772640693
ADA-002_FULL,321303,321303,0.0
ADA-002_FULL,321303,322103,0.19686250079262635
ADA-002_FULL,321303,321301,0.2174278906383623
ADA-002_FULL,321303,321304,0.22195504715990014
ADA-002_FULL,321303,321302,0.2426324141127749
ADA-002_FULL,321304,321304,0.0
ADA-002_FULL,321304,321301,0.11452307080524145
ADA-002_FULL,321304,321303,0.22195504715990014
